ID,Gender,Race,Ethnicity,Age
15513,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0
16664,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0
18645,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
19229,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0
19291,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0
19369,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),70.0
19712,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
19938,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.5
21247,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),22.0
26624,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0
26625,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0
26790,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.0
27655,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0
28079,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),26.5
65139,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),41.75
65851,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
66668,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0
67161,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),58.0
67408,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0
67950,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
67984,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.166666666666664
68560,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
70856,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.75
71472,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0
72612,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
73679,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),52.0
73827,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
75599,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.666666666666664
75600,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.5
75972,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
76511,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.142857142857146
81173,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
81556,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.0
82223,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
82986,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.0
83059,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.0
83289,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),65.0
84223,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
86177,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),55.0
88229,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),50.0
88282,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
88294,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),61.5
90711,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0
91355,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.0
92773,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),51.0
93176,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.0
95125,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
96427,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),66.0
96440,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),20.0
97518,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
97855,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
98566,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0
98579,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.5
100388,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),72.0
100946,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.333333333333336
103533,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.857142857142854
103591,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
104087,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.9
104784,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
106155,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.5
106490,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.0
106864,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),21.0
106968,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.5
108279,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.833333333333336
108806,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
109242,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.0
109426,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.285714285714285
110192,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
110517,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0
110903,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
110973,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),41.333333333333336
111217,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0
112251,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),38.0
113217,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
113675,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),41.0
115069,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.0
115082,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),48.0
117195,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
118116,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.333333333333336
118982,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
120098,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),74.5
120580,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),69.0
120778,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.0
121656,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0
123044,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
123118,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
123122,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),51.5
123153,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0
123882,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),67.6
124181,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.5
124396,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),35.0
124639,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.0
124817,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.470588235294116
125102,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0
127418,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0
127752,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),52.0
127847,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),19.0
128049,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
128052,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.666666666666664
128245,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),50.0
128375,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
129280,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
129338,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.0
129786,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),37.0
129902,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
130013,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
130335,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
130576,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0
130671,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.714285714285715
130847,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),49.0
130920,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),54.5
133211,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0
133240,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
133362,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.0
133371,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0
133428,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.5
133431,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.0
133726,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.0
133728,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0
134851,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.5
134975,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0
135019,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),65.0
135062,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),51.5
135107,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.0
135866,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),55.0
136239,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.666666666666664
139131,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.666666666666664
139570,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),35.0
140006,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),37.0
140619,Male,Black or African American (HUD),Hispanic/Latino (HUD),52.0
141942,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.0
141979,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),65.0
142304,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
143061,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.3
143273,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.42857142857143
143887,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),60.0
146403,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
147114,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),40.0
147927,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.333333333333332
147955,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0
149485,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),35.0
149513,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.333333333333336
149595,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0
152288,Female,Black or African American (HUD),Hispanic/Latino (HUD),34.0
152503,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),40.25
153324,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.833333333333336
153907,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),55.0
154253,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),49.0
154359,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),35.0
154406,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0
154785,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
156733,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0
156978,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),33.8
157088,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),56.0
157125,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0
157126,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.333333333333336
157272,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.2
157422,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),47.875
157427,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
157439,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),61.0
157473,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),53.0
157529,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0
158174,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.5
158414,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),57.5
158605,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.0
158745,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),29.666666666666668
158747,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0
158753,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
158776,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),34.5
158981,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.111111111111114
158986,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),38.0
159179,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.0
159188,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0
159368,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),44.0
159422,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
159852,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.8
160297,Male,White (HUD),Hispanic/Latino (HUD),49.46666666666667
160302,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),44.0
160327,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
160586,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),41.0
160758,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.57142857142857
160833,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
160859,Male,American Indian or Alaska Native (HUD),Hispanic/Latino (HUD),53.0
160957,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
161111,Female,White (HUD),Hispanic/Latino (HUD),39.0
161265,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.4
161760,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
162032,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.5
162076,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),43.285714285714285
162085,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
162560,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0
162631,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0
162677,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
162748,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),34.0
163516,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),39.0
163753,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.75
163770,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),25.0
163802,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0
164096,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),66.0
164121,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0
164357,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.5
164980,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),46.0
165060,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.5
165623,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.75
165730,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.5
166240,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
166411,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),31.0
166457,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.2
166964,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),29.0
167032,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.5
167253,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.666666666666664
167279,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),51.5
167439,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.22222222222223
167781,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
167786,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),39.0
167802,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),71.0
167827,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0
167874,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),27.0
167911,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.8
167933,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),46.0
168290,Male,White (HUD),Hispanic/Latino (HUD),57.6
168456,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.666666666666664
168634,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0
168637,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
168762,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),30.5
168881,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
169008,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.5
169182,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0
169422,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.81818181818182
169426,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0
169442,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
169498,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
169662,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0
169777,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0
170277,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),51.0
170314,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),35.0
171132,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),34.0
171340,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
171435,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0
171448,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.25
171461,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0
171739,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),56.0
171770,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),43.0
172032,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.1
172045,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),41.0
172046,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0
172060,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),27.0
172231,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
172313,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),39.0
172434,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),61.0
172490,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0
172627,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),24.0
172651,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),34.0
172747,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0
172759,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.0
172864,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),24.333333333333332
172866,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.875
172878,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.333333333333336
173408,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),34.0
173477,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),67.0
173479,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),59.0
173498,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
173608,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0
173737,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.4
174666,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),51.333333333333336
174737,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.0
174801,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
174807,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),29.0
174808,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.666666666666664
174821,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0
174922,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0
175165,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),38.0
175198,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0
175205,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),39.333333333333336
175495,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.5
175551,Male,Native Hawaiian or Other Pacific Islander (HUD),Hispanic/Latino (HUD),54.0
175565,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.5
175579,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0
175581,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.333333333333336
175598,Male,White (HUD),Hispanic/Latino (HUD),34.333333333333336
175788,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),37.0
175854,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.666666666666664
175906,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
176430,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),24.0
176580,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.25
176719,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0
176973,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
177186,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0
177187,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),55.666666666666664
177232,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0
177283,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),25.0
177392,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
177647,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),62.5
177751,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),33.0
177800,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),34.6
177865,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),35.5
178161,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),42.0
178324,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),54.333333333333336
178445,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0
178516,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.5
178687,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0
178701,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.333333333333336
178760,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),77.0
178949,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.0
179356,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),42.0
179707,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),35.0
179960,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
179965,Male,White (HUD),Hispanic/Latino (HUD),48.5
180107,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),69.0
180383,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.142857142857146
180564,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),22.0
180697,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0
180890,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0
180947,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0
181032,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.0
181293,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0
181610,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.0
181716,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.0
181734,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),52.333333333333336
182504,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0
182976,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.666666666666664
183057,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.0
183537,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.3
183775,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),39.5
183776,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),22.0
